Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-10-31 17:08:45,2023-10-31 17:09:16,31.443s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-10-31 17:09:16,2023-10-31 17:09:21,5.005s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), NewProfile)",Chrome 118.0.0.0,,,2023-10-31 17:09:21,2023-10-31 17:09:22,1.062s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:09:22,2023-10-31 17:09:22,0.394s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-10-31 17:09:22,2023-10-31 17:09:23,0.425s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-10-31 17:09:23,2023-10-31 17:09:35,12.014s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:09:35,2023-10-31 17:10:04,28.691s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-10-31 17:10:04,2023-10-31 17:10:04,0.370s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:10:04,2023-10-31 17:10:08,3.557s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 17:10:08,2023-10-31 17:10:08,0.697s,PASSED
,,,,,,,
Test Cases/Senior_ReCreate_Profile_Type,Chrome 118.0.0.0,,,2023-10-31 17:10:08,2023-10-31 17:12:19,2m - 11.099s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 17:10:08,2023-10-31 17:10:12,3.222s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 17:10:12,2023-10-31 17:10:12,0.124s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 17:10:12,2023-10-31 17:10:12,0.729s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 17:10:12,2023-10-31 17:10:13,0.757s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 17:10:13,2023-10-31 17:10:14,0.680s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 17:10:14,2023-10-31 17:10:14,0.394s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:10:14,2023-10-31 17:10:16,1.876s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 118.0.0.0,,,2023-10-31 17:10:16,2023-10-31 17:10:19,2.504s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 118.0.0.0,,,2023-10-31 17:10:19,2023-10-31 17:10:19,0.516s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:10:19,2023-10-31 17:10:20,0.448s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-10-31 17:10:20,2023-10-31 17:11:00,40.012s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-10-31 17:11:00,2023-10-31 17:11:31,31.591s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-10-31 17:11:31,2023-10-31 17:11:36,5.003s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), NewProfile)",Chrome 118.0.0.0,,,2023-10-31 17:11:36,2023-10-31 17:11:37,0.961s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:11:37,2023-10-31 17:11:37,0.330s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-10-31 17:11:37,2023-10-31 17:11:38,0.330s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-10-31 17:11:38,2023-10-31 17:11:50,12.010s,PASSED
