Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Sign_Up_Type,Chrome 118.0.0.0,,,2023-10-31 15:55:16,2023-10-31 16:08:37,13m - 21.557s,PASSED
,,,,,,,
Test Cases/Senior_Sign_up_Type,Chrome 118.0.0.0,,,2023-10-31 15:55:16,2023-10-31 15:57:23,2m - 7.120s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 15:55:16,2023-10-31 15:55:20,4.050s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 15:55:20,2023-10-31 15:55:20,0.151s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 15:55:20,2023-10-31 15:55:21,0.704s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 15:55:21,2023-10-31 15:55:22,0.659s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 15:55:22,2023-10-31 15:55:22,0.693s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 15:55:22,2023-10-31 15:55:23,0.358s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:55:23,2023-10-31 15:55:25,2.221s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-10-31 15:55:25,2023-10-31 15:56:05,40.029s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-10-31 15:56:05,2023-10-31 15:56:36,31.511s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-10-31 15:56:36,2023-10-31 15:56:41,5.015s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-10-31 15:56:41,2023-10-31 15:56:43,1.109s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:56:43,2023-10-31 15:56:43,0.418s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-10-31 15:56:43,2023-10-31 15:56:43,0.388s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-10-31 15:56:43,2023-10-31 15:56:55,12.014s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:56:55,2023-10-31 15:57:18,22.536s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-10-31 15:57:18,2023-10-31 15:57:18,0.416s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:57:18,2023-10-31 15:57:22,3.843s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 15:57:22,2023-10-31 15:57:23,0.681s,PASSED
,,,,,,,
Test Cases/Senior_Sign_up_Type,Chrome 118.0.0.0,,,2023-10-31 15:57:23,2023-10-31 15:59:29,2m - 6.418s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 15:57:23,2023-10-31 15:57:26,3.210s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 15:57:26,2023-10-31 15:57:26,0.141s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 15:57:26,2023-10-31 15:57:27,0.711s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 15:57:27,2023-10-31 15:57:28,0.702s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 15:57:28,2023-10-31 15:57:28,0.726s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 15:57:28,2023-10-31 15:57:29,0.393s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-10-31 15:57:29,2023-10-31 15:57:32,2.768s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-10-31 15:57:32,2023-10-31 15:58:12,40.009s,PASSED
